Date,"Discharge, cfs"
1/3/1973,938000.00
1/5/1973,888000.00
2/2/1973,842000.00
2/8/1973,881000.00
2/12/1973,839000.00
2/22/1973,866000.00
2/26/1973,839000.00
3/1/1973,759000.00
3/8/1973,565000.00
3/12/1973,591000.00
3/15/1973,709000.00
3/23/1973,887000.00
3/26/1973,995000.00
3/30/1973,1054000.00
4/2/1973,1112000.00
4/6/1973,1241000.00
4/8/1973,1292000.00
4/9/1973,1291000.00
4/10/1973,1268000.00
4/11/1973,1291000.00
4/12/1973,1352000.00
4/13/1973,1296000.00
4/14/1973,1342000.00
4/15/1973,1335000.00
4/16/1973,1387000.00
4/17/1973,1359000.00
4/18/1973,1408000.00
4/19/1973,1323000.00
4/20/1973,1368000.00
4/21/1973,1233000.00
4/22/1973,1286000.00
4/23/1973,1298000.00
4/24/1973,1279000.00
4/25/1973,1285000.00
4/26/1973,1244000.00
4/27/1973,1280000.00
4/28/1973,1260000.00
4/29/1973,1360000.00
4/30/1973,1433000.00
5/1/1973,1357000.00
5/2/1973,1393000.00
5/3/1973,1327000.00
5/4/1973,1329000.00
5/5/1973,1403000.00
5/6/1973,1388000.00
5/7/1973,1373000.00
5/8/1973,1322000.00
5/9/1973,1447000.00
5/10/1973,1392000.00
5/11/1973,1354000.00
5/12/1973,1428000.00
5/13/1973,1418000.00
5/14/1973,1426000.00
5/15/1973,1428000.00
5/16/1973,1498000.00
5/17/1973,1441000.00
5/18/1973,1440000.00
5/19/1973,1402000.00
5/20/1973,1426000.00
5/22/1973,1392000.00
5/23/1973,1370000.00
5/24/1973,1361000.00
5/25/1973,1299000.00
5/26/1973,1372000.00
5/27/1973,1299000.00
5/28/1973,1352000.00
5/29/1973,1297000.00
5/30/1973,1220000.00
5/31/1973,1207000.00
6/1/1973,1216000.00
6/2/1973,1191000.00
6/3/1973,1159000.00
6/4/1973,1126000.00
6/5/1973,1070000.00
6/6/1973,1090000.00
6/7/1973,1045000.00
6/8/1973,1054000.00
6/9/1973,1029000.00
6/10/1973,1037000.00
6/11/1973,1012000.00
6/12/1973,1014000.00
6/13/1973,992000.00
6/14/1973,978000.00
6/16/1973,1003000.00
6/17/1973,979000.00
6/18/1973,957000.00
6/19/1973,975000.00
6/20/1973,964000.00
6/22/1973,910000.00
6/23/1973,878000.00
6/24/1973,856000.00
6/25/1973,856000.00
6/26/1973,850000.00
6/27/1973,819000.00
6/28/1973,811000.00
6/29/1973,744000.00
6/30/1973,763000.00
7/2/1973,643000.00
7/5/1973,596000.00
7/12/1973,447000.00
7/16/1973,421000.00
7/19/1973,396000.00
7/26/1973,319000.00
7/30/1973,308000.00
8/2/1973,392000.00
